TransactionID,Items Purchased
1,"Milk, Bread, Eggs"
2,"Bread, Butter, Jam"
3,"Milk, Diapers, Beer, Eggs"
4,"Bread, Butter"
5,"Milk, Bread, Butter"
6,"Diapers, Beer"
7,"Bread, Eggs, Butter"
8,"Milk, Diapers, Bread, Butter"
9,"Beer, Chips"
10,"Milk, Bread, Jam"
11,"Bread, Butter, Cheese"
12,"Milk, Diapers, Beer"
13,"Bread, Eggs, Butter, Jam"
14,"Milk, Bread, Butter, Eggs"
15,"Diapers, Beer, Chips"
16,"Bread, Milk, Cheese"
17,"Butter, Jam, Bread"
18,"Milk, Diapers, Bread"
19,"Bread, Butter, Milk, Eggs"
20,"Beer, Chips, Nuts"
21,"Milk, Bread, Butter, Cheese"
22,"Diapers, Beer, Milk"
23,"Bread, Eggs, Butter"
24,"Milk, Bread, Jam"
25,"Butter, Cheese, Bread"
26,"Milk, Diapers, Beer, Eggs"
27,"Bread, Butter, Jam"
28,"Milk, Bread, Butter, Eggs"
29,"Diapers, Beer, Chips"
30,"Milk, Bread, Cheese"
